Cycle,Capacity,Date
1,1.8564874208181574,2008-04-02 15:25:41
3,1.846327249719927,2008-04-02 19:43:48
5,1.8353491942234077,2008-04-03 00:01:06
7,1.8352625275821128,2008-04-03 04:16:37
9,1.8346455082120419,2008-04-03 08:33:25
11,1.8356616600675495,2008-04-03 12:55:10
13,1.8351461429226603,2008-04-03 17:17:16
15,1.8257567905665537,2008-04-03 21:28:14
17,1.8247738529891333,2008-04-04 01:38:15
19,1.824613268496936,2008-04-04 05:48:08
21,1.8246195526864504,2008-04-04 09:57:19
24,1.8142019357673917,2008-04-04 17:56:27
26,1.8137521577549054,2008-04-04 22:01:54
28,1.8134404914735822,2008-04-05 02:20:26
30,1.8025980036306504,2008-04-05 06:25:01
32,1.80210690024615,2008-04-05 10:30:32
34,1.802579500826209,2008-04-05 14:34:41
36,1.8030683142834096,2008-04-05 18:39:25
38,1.8027776247196041,2008-04-05 22:46:35
41,1.8470259949329193,2008-04-18 21:10:19
45,1.847417311283644,2008-04-19 02:29:09
49,1.8361774213478947,2008-04-19 07:47:15
53,1.8257807475776242,2008-04-19 13:01:42
57,1.8251136435078368,2008-04-19 18:27:29
61,1.8255815042203762,2008-04-19 23:41:55
65,1.8140311275083907,2008-04-20 04:54:41
69,1.8147691941158939,2008-04-20 10:16:28
73,1.813969388710352,2008-04-20 15:37:05
77,1.802765665167823,2008-04-20 20:50:38
81,1.804077040117352,2008-04-21 02:15:02
85,1.8518025516704486,2008-04-22 15:33:49
89,1.8307038456739428,2008-04-22 20:26:18
93,1.8199041089501267,2008-04-23 01:18:11
97,1.8093079637028517,2008-04-23 06:18:19
101,1.80460990458052,2008-04-23 11:08:00
105,1.7993770651972192,2008-04-23 16:06:25
109,1.7884432335370462,2008-04-23 21:02:58
113,1.7829230484252723,2008-04-24 01:51:33
117,1.7730337158018288,2008-04-24 06:50:00
121,1.773037755078937,2008-04-24 11:49:24
125,1.7678721106662054,2008-04-24 16:45:56
129,1.7623150704093087,2008-04-24 21:38:11
133,1.7676172924938447,2008-04-25 12:03:44
135,1.762668359743147,2008-04-25 20:03:55
139,1.7517304870664143,2008-04-26 01:04:35
143,1.7418496047960008,2008-04-26 05:57:35
147,1.7360913511847138,2008-04-26 10:58:25
149,1.7936240148573608,2008-04-29 12:15:56
153,1.7831890223273275,2008-04-29 17:05:27
157,1.7673642076278957,2008-04-29 22:00:04
161,1.7570177850353066,2008-04-30 02:43:55
165,1.7468706179837907,2008-04-30 07:41:42
169,1.7417172507457144,2008-04-30 12:28:49
