SoC,Voltage_V,Voltage_OCV
2.5479618415147343e-13,3.2,3.2
1.61484967957648e-05,3.201,3.201
6.9889434959447e-05,3.202,3.202
0.0001223196185337061,3.204,3.204
0.0001760605566973883,3.205,3.205
0.0002284907402716474,3.207,3.207
0.0002809209238459065,3.208,3.208
0.0003333511074201656,3.21,3.21
0.00038447053640511264,3.212,3.212
0.00043690071997937174,3.213,3.213
0.0004893309035538529,3.214,3.214
0.000540450332538911,3.216,3.216
0.000591569761523858,3.217,3.217
0.0006439999450981171,3.219,3.219
0.0006964301286723762,3.22,3.22
0.0007488603122466353,3.222,3.222
0.0008012904958208944,3.223,3.223
0.0008537206793951535,3.224,3.224
0.0009061508629695236,3.226,3.226
0.0009585810465437827,3.227,3.227
0.0010110112301180418,3.229,3.229
0.001063441413692301,3.23,3.23
0.00111587159726656,3.231,3.231
0.001166991026251507,3.233,3.233
0.0012181104552365651,3.234,3.234
0.0012705406388108242,3.235,3.235
0.0013216600677959933,3.237,3.237
0.0013727794967809404,3.238,3.238
0.0014252096803551995,3.239,3.239
0.0014776398639294586,3.24,3.24
0.0015300700475037177,3.242,3.242
0.0015825002310779768,3.243,3.243
0.0016349304146522359,3.244,3.244
0.001687360598226495,3.246,3.246
0.0017397907818009761,3.247,3.247
0.0017922209653752352,3.248,3.248
0.0018446511489494943,3.249,3.249
0.0018970813325236424,3.25,3.25
0.0019482007615087005,3.252,3.252
0.0020006309450829596,3.253,3.253
0.0020530611286572187,3.254,3.254
0.002105491312231589,3.255,3.255
0.002157921495805848,3.257,3.257
0.002210351679380107,3.258,3.258
0.002262781862954366,3.259,3.259
0.0023152120465286252,3.26,3.26
0.0023676422301028843,3.261,3.261
0.0024200724136771434,3.262,3.262
0.0024725025972514025,3.263,3.263
0.0025249327808258837,3.265,3.265
0.002577362964400143,3.266,3.266
0.002629793147974402,3.267,3.267
0.002680912576959349,3.268,3.268
0.002733342760533608,3.269,3.269
0.002784462189518555,3.27,3.27
0.002836892373092814,3.271,3.271
0.0028893225566670733,3.273,3.273
0.0029417527402415544,3.274,3.274
